アプリ名,概要,機能,詳細,,アプリ連携・外部ツール,プラグイン,備考,記載日,記載者,スコープ内かどうか,実装状況
案件管理アプリ,"1顧客当たり複数の案件を登録管理する。
基本的に一人の作業者当たり、かつ1月あたり、1案件とする。",案件情報の登録・編集・削除,kintoneユーザーは、情報の登録・参照・編集・削除を実施できる。,,,,フィールドの詳細を聞く必要あり,,,スコープ内,未実装
,,タスクボード表示,カンバン形式などでタスクの進捗状況を視覚的に表示する。,,,カンバンプラグイン,,,,,
,,案件に紐づく活動のgoogleカレンダーとの連携,"案件に紐づくMTGなどの予定をgoogleカレンダーと連携させる。
営業活動などのアクションの際に、kintone上からgoogleカレンダーに予定を登録することができる。",,https://cybozu.dev/ja/kintone/tips/development/3rd-party-services/calendar/kintone-event-record-to-google-calendar/#setup-google-calendar,https://www.tis2010.jp/googlecalendar/,https://intercom.help/senses_manual/ja/articles/2979477-google%E3%82%AB%E3%83%AC%E3%83%B3%E3%83%80%E3%83%BC%E3%81%A8%E8%87%AA%E5%8B%95%E9%80%A3%E6%90%BA%E3%81%99%E3%82%8B,,,,
,,顧客管理アプリの情報を取得可能,アクションボタンにて顧客管理アプリの情報を取得し、入力を省略することができる。,,"顧客管理アプリ
＞アクションボタン",,,,,スコープ内,実装済み
,,見積管理アプリへのレコード作成動線の設置,アクションボタンにより案件情報がコピーされ、見積管理アプリでの入力を省略できる,,"見積管理アプリ
＞アクションボタン",,,,,スコープ内,実装済み
,,見積管理アプリの情報を参照可能,関連レコード一覧により、レコード内で見積書を確認できる。,,"見積管理アプリ
＞ルックアップ、関連レコード一覧",,,,,スコープ内,未実装
,,請求・入金管理アプリの情報を参照可能,関連レコード一覧により、請求・入金情報をレコード内で一覧化して確認できる。,,"請求・入金管理アプリ
＞ルックアップ、関連レコード一覧",,,,,スコープ内,未実装
,,発注・備品情報を登録・参照可能,"アクションボタンにより、案件に紐づく発注情報を登録することができる。
発注・備品管理アプリから情報を取得することができる。",,"発注・備品管理アプリ
＞アクションボタン、ルックアップ、関連レコード一覧",,,,,スコープ内,未実装
,,勤怠表データの集計,ボタンをクリックすると、タスク管理アプリから集計されたデータが反映される。,新規の場合、数値フィールドへ、継続の場合は、テーブル内の数値フィールドへコピー,タスク管理,,,,,スコープ内,
顧客管理アプリ,"1顧客1レコードとして登録管理するアプリ。
顧客の基本情報を保持する。",顧客基本情報の登録・編集・削除,kintoneユーザーは、情報の登録・参照・編集・削除を実施できる。,,,,"https://settings.secure.freee.co.jp/partners/new?service_name=accounting

取引先マスタ項目の参考
- 請求書の送付先を保持できる

マスタ・口座＞取引先
の情報ともリンクさせる必要あり

どの顧客がどの過去の案件に携わってて、どのような得意項目があるか、も観れるようにしたい",,,スコープ内,未実装
,,,,,,,,,,スコープ内,未実装
,,案件管理アプリからの情報のルックアップ,案件管理アプリから情報をルックアップにより取得コピーすることができる。振り込み情報も同時にコピーする。,,"案件管理アプリ
＞ルックアップ",,,,,スコープ内,未実装
,,案件管理アプリへのレコード作成動線の設置,アクションボタンにより顧客情報がコピーされ、案件管理アプリでの入力を省略できる,,案件管理アプリ,,,,,スコープ内,実装済み
,,契約書管理アプリへのレコード作成動線の設置,アクションボタンにより案件情報がコピーされ、契約書アプリでの入力を省略できる,,契約書管理アプリ,,,,,,
,,契約書管理アプリの情報を参照可能,関連レコード一覧により、契約情報をレコード内で一覧化して確認できる。,,契約書管理アプリ,,,,,,
,,見積管理・請求管理アプリの情報を参照可能,関連レコード一覧により、見積管理・請求管理の情報をレコード内で一覧化して確認できる。,,"見積管理・請求管理
＞ルックアップ、関連レコード一覧",,,,,スコープ内,未実装
,,口座情報の登録・編集・削除,"管理者ユーザーは、情報の登録・編集を実施できる。
もしくは、freee人事労務からの情報の取得・人事労務への情報の登録が実施できる。",,,,freee会計のとの連携の要不要確認,,,スコープ内,
,,,,,,,,,,,
契約書管理アプリ,"1契約ごとに1レコードして登録管理する。

クラウドサインと連携し、契約書の締結状況をkintoneで一元管理する。",契約情報の登録・編集・削除,kintoneユーザーは、情報の登録・編集・削除を実施できる。,,,,,,,スコープ内,未実装
,,案件管理アプリからの情報のルックアップ,案件管理アプリから情報をルックアップにより取得コピーすることができる,,案件管理アプリ,,,,,,
,,クラウドサイン連携,クラウドサイン契約書のdocument_idと紐づけ、一レコード一契約書として管理する。,,クラウドサイン,,API・外部サービス連携 | クラウドサイン ヘルプセンター,,,スコープ内,未実装
